Rk,&nbsp;,Salary
1,Nicolas Batum,"$25,565,217"
2,Terry Rozier,"$19,894,737"
3,Bismack Biyombo,"$17,000,000"
4,Cody Zeller,"$14,471,910"
5,Marvin Williams,"$14,049,901"
6,Michael Kidd-Gilchrist,"$12,189,237"
7,Malik Monk,"$4,028,400"
8,P.J. Washington,"$3,831,840"
9,Miles Bridges,"$3,755,400"
10,Willy Hernang\xc3\xb3mez,"$1,676,735"
11,Dwayne Bacon,"$1,618,520"
12,Devonte\' Graham,"$1,416,852"
13,Cody Martin,"$1,173,310"
14,Caleb Martin,"$898,310"
15,Jalen McDaniels,"$898,310"
16,Joe Chealey,"$163,356"
17,Kobi Simmons,$0
18,Ray Spalding,$0
