Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Kawhi Leonard,28,13,13,511,12.6,25.7,.489,2.3,7.0,.329,10.3,18.7,.549,7.8,9.0,.862,2.3,9.3,11.6,6.9,2.9,1.1,3.2,2.8,35.2,,121,107
2,Paul George,29,13,13,479,9.0,22.6,.398,3.8,11.3,.333,5.2,11.2,.464,5.1,5.6,.909,1.4,6.6,8.1,5.0,1.9,0.7,4.1,5.0,26.9,,104,110
3,Marcus Morris,30,13,13,388,7.1,14.0,.505,3.5,7.4,.475,3.5,6.6,.538,1.6,1.8,.929,1.4,6.6,8.0,2.7,1.4,0.1,1.1,4.9,19.3,,129,113
4,Lou Williams,33,13,0,341,8.9,21.0,.425,1.7,7.3,.235,7.2,13.6,.526,4.3,5.3,.811,1.0,4.9,5.9,7.9,1.4,0.3,3.0,2.6,23.8,,107,113
5,Ivica Zubac,22,13,13,320,6.7,11.9,.564,0.0,0.0,,6.7,11.9,.564,4.6,5.7,.811,4.7,9.5,14.2,1.2,0.3,1.5,1.8,5.2,18.1,,127,112
6,Montrezl Harrell,26,13,0,243,9.5,16.5,.573,0.2,1.0,.200,9.3,15.5,.597,8.3,13.7,.603,2.2,5.4,7.7,1.0,1.0,1.4,2.4,5.6,27.4,,116,112
7,Landry Shamet,22,13,4,243,4.8,11.9,.407,3.0,8.5,.357,1.8,3.4,.529,1.0,1.4,.714,0.0,4.4,4.4,3.4,1.2,0.6,2.6,3.6,13.7,,99,113
8,JaMychal Green,29,13,0,222,6.8,12.1,.564,2.2,5.1,.435,4.6,7.1,.656,1.5,2.0,.778,2.9,7.9,10.8,1.5,0.4,0.7,1.1,6.4,17.4,,133,113
9,Reggie Jackson,29,12,1,170,6.0,13.8,.438,4.9,9.2,.531,1.2,4.6,.250,0.0,0.0,,0.6,5.5,6.0,3.2,0.6,0.3,1.4,5.2,17.0,,118,115
10,Patrick Beverley,31,8,8,166,5.9,11.5,.513,2.4,6.5,.364,3.5,5.0,.706,0.6,1.2,.500,2.7,7.1,9.7,5.6,2.4,0.9,2.1,9.1,14.8,,124,109
11,Terance Mann,23,13,0,27,3.6,9.1,.400,0.0,3.6,.000,3.6,5.4,.667,0.0,0.0,,0.0,12.7,12.7,1.8,1.8,0.0,3.6,7.3,7.3,,63,109
12,Rodney McGruder,28,5,0,16,9.2,15.3,.600,6.1,9.2,.667,3.1,6.1,.500,0.0,0.0,,3.1,9.2,12.2,6.1,0.0,0.0,0.0,0.0,24.5,,172,115
13,Patrick Patterson,30,2,0,10,14.7,14.7,1.000,14.7,14.7,1.000,0.0,0.0,,0.0,0.0,,0.0,4.9,4.9,19.6,0.0,0.0,0.0,4.9,44.1,,280,117
14,Amir Coffey,22,3,0,7,0.0,21.0,.000,0.0,7.0,.000,0.0,14.0,.000,14.0,14.0,1.000,0.0,0.0,0.0,28.0,7.0,0.0,0.0,0.0,14.0,,103,104
15,Joakim Noah,34,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,119
